,id,rank,name,position_id,position_name,level
1503,732,1504,REMISTA,10,fw,1.0
1504,988,1505,CrePPyyy,10,fw,1.0
1505,1244,1506,pele,30,df,1.0
1506,1500,1507,Tedchs,20,mf,1.0
1507,1245,1508,ARLANMARCA,10,fw,1.0
1508,1501,1509,Necatidmr1905,10,fw,1.0
1509,734,1510,10mil,10,fw,1.0
1510,990,1511,Madafaka,10,fw,1.0
1511,1246,1512,ARLANROBOZÃO,10,fw,1.0
1512,1502,1513,test001,20,mf,1.0
1513,223,1514,Lion,20,mf,1.0
1514,735,1515,Bakke,10,fw,1.0
1515,991,1516,Bish,20,mf,1.0
1516,1247,1517,Mouhamed,10,fw,1.0
1517,1503,1518,Fictional,30,df,1.0
1518,736,1519,Jota,10,fw,1.0
1519,1248,1520,Mouhamed40,10,fw,1.0
1520,1504,1521,danzzz,20,mf,1.0
1521,481,1522,Lucaszaipo,20,mf,1.0
1522,737,1523,Renato_Zheng,30,df,1.0
1523,1249,1524,Debeselis,10,fw,1.0
1524,226,1525,Kroos12,20,mf,1.0
1525,482,1526,santi,20,mf,1.0
1526,994,1527,MoneyHeist,20,mf,1.0
1527,1250,1528,Akdere,10,fw,1.0
1528,483,1529,Kazuya,30,df,1.0
1529,1251,1530,r00f1t,10,fw,1.0
1530,996,1531,cauazin,10,fw,1.0
1531,1508,1532,ramon,10,fw,1.0
1532,485,1533,113322,30,df,1.0
1533,997,1534,DougHams,10,fw,1.0
1534,1253,1535,leolegeek,20,mf,1.0
1535,1509,1536,OBLONGCHEESE,30,df,1.0
1536,230,1537,barda,10,fw,1.0
1537,486,1538,EAGLE11,10,fw,1.0
1538,742,1539,Thiago,20,mf,1.0
1539,998,1540,ROCK,20,mf,1.0
1540,1254,1541,tino,30,df,1.0
1541,1510,1542,stevenxx11,10,fw,1.0
1542,231,1543,Wigga,10,fw,1.0
1543,487,1544,Jacollo,20,mf,1.0
1544,743,1545,RAYHAN,10,fw,1.0
